update,current_loss,current_loss_ratio_to_plateau,selected_loss,selected_loss_ratio_to_plateau,selected_radius_l2,relative_improvement,gradient_norm,gradient_nonzero_fraction,analytic_directional_derivative,negative_gradient_cosine,curvature_pair_accepted,curvature_s_dot_y,curvature_cosine,history_size_used,initial_inverse_hessian_scale,restart_reason
87,2.5669996261967754e-07,0.01427900128298462,2.540857622079784e-07,0.01413358571435076,0.01,0.010183875311163512,5.348132666731193e-06,1.0,-5.516168761056101e-07,0.10314195824930011,True,4.466499947322623e-09,0.05965084784617848,10,79.66501588387911,none
88,2.540857622079784e-07,0.01413358571435076,2.5105470058406354e-07,0.013964982133832092,0.003,0.011929285598591834,4.265369352541411e-06,1.0,-2.227051320013266e-06,0.5221239088166763,True,5.82456112128273e-09,0.0828937838520683,10,117.97207434164486,none
89,2.5105470058406354e-07,0.013964982133832092,2.4826266553645837e-07,0.013809674467948403,0.003,0.01112122195326225,5.6369438895024714e-06,1.0,-1.8574393893069125e-06,0.3295117754768799,True,7.282832345454963e-09,0.30999610170752234,10,118.7593272817146,none
90,2.4826266553645837e-07,0.013809674467948403,2.4559287226111337e-07,0.013661166532010618,0.01,0.01075390562481869,3.5698216262425733e-06,1.0,-3.678672526597151e-07,0.10304919717561038,True,5.570352782793146e-09,0.26323270635543494,10,111.95749089360612,none
91,2.4559287226111337e-07,0.013661166532010618,2.420142948267312e-07,0.013462107244056963,0.01,0.014571177906895601,2.8806353526275247e-06,1.0,-4.781930248931271e-07,0.16600262314519662,True,2.052412486979008e-09,0.08124957371231309,10,321.6433767669432,none
92,2.420142948267312e-07,0.013462107244056963,2.388845814493834e-07,0.013288016134442217,0.01,0.012931936022987811,2.832576904538668e-06,1.0,-5.062048046259089e-07,0.17870822991621307,True,2.4074477981978238e-09,0.10160948002003706,10,428.8563161736705,none
93,2.388845814493834e-07,0.013288016134442217,2.3587205078001716e-07,0.01312044334302486,0.01,0.012610820887176258,3.7079013426118607e-06,1.0,-4.4657188749204353e-07,0.12043790985410441,True,3.86121508966366e-09,0.0895580217239989,10,207.72217599616746,none
94,2.3587203656916245e-07,0.01312044255254242,2.328064141465802e-07,0.012949916518730512,0.01,0.012996972711020514,2.901596318042653e-06,1.0,-4.274301563964497e-07,0.14730862239294448,True,2.8973838124480203e-09,0.10070886944400428,10,350.0478046458119,none
95,2.3280642835743492e-07,0.012949917309212952,2.2880064420860435e-07,0.012727094538158422,0.01,0.01720650145742697,3.2810133087307574e-06,1.0,-6.076535051863268e-07,0.1852029991995476,True,2.4110341583449717e-09,0.08551395769276132,10,303.2996016978658,none
96,2.2880064420860435e-07,0.012727094538158422,2.254425055525644e-07,0.012540297213808678,0.01,0.014677138115827331,3.1063089101387628e-06,1.0,-5.806893174142829e-07,0.18693868968080787,True,4.134508133106831e-09,0.1232134214407134,10,367.19329215380924,none
97,2.254425055525644e-07,0.012540297213808678,2.2300507396266767e-07,0.012404714456241675,0.01,0.010811765882048444,4.381668106940724e-06,1.0,-5.620130946849792e-07,0.12826464282448,True,4.9077586829834224e-09,0.1011653297185798,10,208.5348995152905,none
98,2.2300507396266767e-07,0.012404714456241675,2.2079687767018186e-07,0.01228188297090873,0.003,0.009902000224692079,5.292245358289257e-06,1.0,-2.1475100930290366e-06,0.405784302938159,True,6.360107601945537e-09,0.08905135717698441,10,124.68590420110382,none
99,2.2079687767018186e-07,0.01228188297090873,2.1874089384255058e-07,0.012167518342986915,0.003,0.009311652634429153,7.222292716262547e-06,1.0,-1.8175471137173311e-06,0.25165791304569585,True,8.483706580046237e-09,0.2694973714330448,10,77.04758708291477,none
